method,runs,mean_mae,mean_rmse,mean_alpha_zero,mean_alpha_partial,mean_seconds,mean_output_kib
imagemagick-exact,6,0.0,0.0,0.081311,0.0,0.661,1918.0
imagemagick-fuzz-2,6,0.4793,0.8921,0.656685,0.0,0.602,1839.0
imagemagick-fuzz-4,6,0.5669,1.2506,0.670019,0.0,0.597,1839.3
imagemagick-fuzz-6,6,0.728,1.9503,0.683745,0.0,0.603,1841.0
soft-tight,6,0.4822,0.8847,0.640504,0.017162,0.078,1873.0
decontam-tight,6,0.5567,0.8704,0.640504,0.017162,0.176,1128.7
soft-balanced,6,0.5127,1.0055,0.649125,0.01198,0.081,1859.5
decontam-balanced,6,0.5869,0.9523,0.649125,0.01198,0.179,1087.9
soft-wide,6,0.5719,1.2296,0.655524,0.017827,0.079,1866.2
decontam-wide,6,0.6333,1.1181,0.655524,0.017827,0.179,1068.5
pymatting-knn-balanced,6,0.8216,1.7774,0.638174,0.197341,4.756,1155.0
rembg-u2net,6,14.2385,35.2075,0.586248,0.412418,0.937,885.6
rembg-isnet-anime,6,20.2309,49.7757,0.651486,0.348513,2.034,707.1
